"Creature from the Black Lagoon"	"0046876"
"Revenge of the Creature"	"0048554"
"The Creature Walks Among Us"	"0049103"
"Creep (2004)"	"0381966"
"Creep (2014)"	"2428170"
"The Creeping Terror"	"0057970"
"Creepshow"	"0083767"
"Creepshow 2"	"0092796"
"Criminally Insane"	"0072831"
"Crimson Peak"	"2554274"
"Critters"	"0090887"
"Crocodile (1979)"	"0377707"
"Crocodile 2: Death Swamp"	"0257510"
"Cronos"	"0104029"
"Cruising"	"0080569"
"Cry Baby Lane"	"0221097"
"Cry_Wolf"	"0384286"
"Cthulhu"	"0478126"
"Cube"	"0123755"
"Cube 2: Hypercube"	"0285492"
"Cube Zero"	"0377713"
"Cujo"	"0085382"
"Cure"	"0123948"
"A Cure For Wellness"	"4731136"
"The Curse"	"0092809"
"The Curse of Frankenstein"	"0050280"
"Frankenstein and the Monster from Hell"	"0071519"
"The Curse of the Werewolf"	"0054777"
"Curse of the Zodiac"	"1033472"
"Cursed"	"0257516"
"The Cyclops"	"0050281"
"Dagon"	"0264508"
"The Dark"	"0411267"
"Dark Floors"	"0985025"
"Dark Harvest"	"2939114"
"Dark Night of the Scarecrow"	"0082235"
"The Dark Side of the Moon"	"0099364"
"Dark Universe"	"0106666"
"Dark Water"	"0382628"
"Darkness Falls"	"0282209"
"Day of the Animals"	"0075913"
"The Dead Lands"	"3399916"
"Dead & Buried"	"0082242"
"Dead Air"	"0993841"
"Dead End"	"0308152"
"Dead Friend"	"0410537"
"The Dead Matter"	"1055363"
"The Dead Next Door"	"0094962"
"Dead of Night"	"0037635"
"The Dead Pit"	"0122037"
"Dead Season"	"1650042"
"Dead Silence"	"0455760"
"Dead Snow"	"1278340"
"Dead Snow: Red vs. Dead"	"2832470"
"Deadgirl"	"0896534"
"The Deadly Bees"	"0061557"
"Deadly Blessing"	"0082245"
"Deadly Eyes"	"0083801"
"Deadly Friend"	"0090917"
"The Deadly Mantis"	"0050294"
"The Deadly Spawn"	"0087998"
"Deafula"	"0123790"
"Death Academy"	"0467486"
"Death Bed: The Bed That Eats"	"0385639"
"Death Bell"	"1438522"
"Deathgasm"	"3705412"
"Death House"	"2984576"
"Death Machine"	"0109575"
"Death on Demand"	"0902274"
"Death Screams"	"0085415"
"Death Warmed Up"	"0089002"
"The Deaths of Ian Stone"	"0810823"
"Deathwatch"	"0286306"
"Decoys"	"0357585"
"Deep Blue Sea"	"0149261"
"Deep Red"	"0073582"
"Deliver Us from Evil"	"2377322"
"Dementia 13"	"0056983"
"Demon Hunter"	"2375585"
"Bordello of Blood"	"0117826"
"Demons Never Die"	"1777612"
"The Den"	"2503154"
"The Dentist"	"0116075"
"Desperation"	"0129871"
"The Descent"	"0435625"
"The Descent Part 2"	"1073105"
"Detention"	"1701990"
"Devil"	"1314655"
