Up in the Air	1193138	83813460
Steel Magnolias	0098384	83759091
Immortals	1253864	83503161
Saving Mr. Banks	2140373	83299761
Valkyrie	0985699	83077470
Brokeback Mountain	0388795	83025853
Disclosure	0109635	83000000
Days of Thunder	0099371	82670733
The Descendants	1033575	82624961
Mr. Holland's Opus	0113862	82528097
Bridge to Terabithia	0398808	82234139
MASH	0066026	81600000
Eight Below	0397313	81593527
Payback	0120784	81517441
The Talented Mr. Ripley	0134119	81292135
21	0478087	81159365
While You Were Sleeping	0114924	81057016
Another 48 Hrs.	0099044	80820000
Moonstruck	0093565	80640528
Eat Pray Love	0879870	80574010
Fried Green Tomatoes	0101921	80100000
Disturbia	0486822	80050171
Dear John	0989757	80014842
Footloose	0087277	80000000
The Ten Commandments	0049833	80000000
Knowing	0448011	79948113
Coal Miner's Daughter	0080549	79900000
War Horse	1568911	79883359
Earthquake	0071455	79700000
Hannah Montana: The Movie	1114677	79566871
The Day the Earth Stood Still	0970416	79363785
Apocalypse Now	0078788	78800000
City of Angels	0120632	78745923
The English Patient	0116209	78651430
A.I. Artificial Intelligence	0212720	78616689
Cocktail	0094889	78222753
We Were Soldiers	0277434	78120196
The Monuments Men	2177771	78031620
Backdraft	0101393	77868585
Man on Fire	0328107	77862546
Free Willy	0106965	77698625
Gangs of New York	0217505	77679638
Philadelphia	0107818	77324422
Where the Wild Things Are	0386117	77222184
The Terminal	0362227	77032279
The Untouchables	0094226	76270454
Training Day	0139654	76261036
White Men Can't Jump	0105812	76253806
48 Hrs.	0083511	75900000
The Family Man	0218967	75764085
Contagion	1598778	75638743
We Bought a Zoo	1389137	75621915
Moneyball	1210166	75605492
Braveheart	0112573	75600000
The Rookie	0265662	75597042
Any Given Sunday	0146838	75530832
Constantine	0360486	75500759
The Horse Whisperer	0119314	75370763
The Girl on the Train	3631112	75311445
Ray	0350258	75305995
The Intern	2361509	75274748
Barbershop	0303714	75074950
The Exorcism of Emily Rose	0404032	75072454
The Prince of Tides	0102713	74787599
Ladder 49	0349710	74540762
Four Brothers	0430105	74484168
No Country for Old Men	0477348	74273505
Along Came a Spider	0164334	74058698
Hugo	0970179	73820094
Law Abiding Citizen	1197624	73343413
White House Down	2334879	73103784
The Last of the Mohicans	0104691	72455275
Bridge of Spies	3682448	72306065
Dolphin Tale	1564349	72279690
Vantage Point	0443274	72266306
My Fair Lady	0058385	72000000
10 Cloverfield Lane	1179933	71897215
See full summary	0098966	71609321
Sideways	0375063	71502303
