Tales from the Crypt: Demon Knight	0114608	21088568
The Black Cauldron	0088814	21000000
The Hills Have Eyes II	0800069	20801344
Jaws: The Revenge	0093300	20763013
Blair Witch	1540011	20747013
Land of the Dead	0418819	20433940
Valentine	0242998	20384136
Pulse	0454919	20259297
Vampires	0120877	20241395
The Fly II	0097368	20021322
See full summary	0114825	19900000
The Serpent and the Rainbow	0096071	19595031
Jason Lives: Friday the 13th Part VI	0091080	19472057
House	0091223	19445000
Cursed	0257516	19294901
Willard	0067991	19216000
Friday the 13th Part VII: The New Blood	0095179	19170001
Species II	0120841	19165560
Friday the 13th Part 2	0082418	19100000
Vacancy	0452702	18986844
See full summary	0096073	18875011
Shark Night 3D	1633356	18860403
The Believers	0092632	18753438
Ultraviolet	0370032	18500966
You're Next	1853739	18474268
Fright Night	1438176	18298649
Paranormal Activity: The Ghost Dimension	2473510	18247445
Chernobyl Diaries	1991245	18112929
New Nightmare	0111686	18090181
The Howling	0082533	17986000
Halloween 4: The Return of Michael Myers	0095271	17768000
The Rage: Carrie 2	0144814	17757087
Apollo 18	1772240	17683670
Hostel: Part II	0498353	17544812
Silent Hill: Revelation	0938330	17529157
The Ruins	0963794	17427926
Dark Skies	2387433	17411930
Disturbing Behavior	0134619	17411331
Eight Legged Freaks	0271367	17266505
Angel Heart	0092563	17185632
Diabolique	0116095	17100000
Pet Sematary II	0105128	17092453
The Guardian	0099710	17037887
Seed of Chucky	0387575	17016190
See full summary	0076271	17000000
Splice	1017460	16999046
The Thing	0905372	16907450
The Devil's Rejects	0395584	16901126
See full summary	0160484	16779636
Hellraiser: Bloodline	0116514	16675000
Tremors	0100814	16667084
Buffy the Vampire Slayer	0103893	16624456
Shocker	0098320	16554699
Dead Silence	0455760	16545445
The Frighteners	0116365	16524115
The Hitcher	0455960	16366370
Tales from the Darkside: The Movie	0100740	16324573
An American Haunting	0429573	16298046
Black Christmas	0454082	16235293
Jennifer's Body	1131734	16204793
Wolf Creek	0416315	16186348
The Prophecy	0114194	16115878
Jason Goes to Hell: The Final Friday	0107254	15935068
Devil's Due	2752758	15818967
Wishmaster	0120524	15719109
Leviathan	0097737	15704614
Wrong Turn	0295700	15417771
Needful Things	0107665	15185672
Thinner	0117894	15171475
The Last Exorcism Part II	2034139	15152879
Halloween: The Curse of Michael Myers	0113253	15126948
Firestarter	0087262	15100000
See No Evil	0437179	15019200
Child's Play 3	0103956	14960255
The Cave	0402901	14888028
It Follows	3235888	14673301
My Soul to Take	0872230	14637490
Children of the Corn	0087050	14600000
