George of the Jungle	0119190	105263257
The Graduate	0061722	104397102
The Princess and the Frog	0780521	104374107
American Wedding	0328828	104354205
Daddy Day Care	0317303	104148781
Journey 2: The Mysterious Island	1397514	103812241
Dick Tracy	0099422	103738726
9 to 5	0080319	103290500
Just Go with It	1564367	103028109
Mary Poppins	0058331	102300000
Bad Grandpa	3063516	101978840
American Pie	0163651	101736215
Maverick	0110478	101631272
Stir Crazy	0081562	101500000
This Is the End	1245492	101470202
Charlie's Angels: Full Throttle	0305357	100685880
The Rugrats Movie	0134067	100491683
Step Brothers	0838283	100468793
Due Date	1231583	100448498
The Cat in the Hat	0312528	100446895
Casper	0112642	100328194
Bad Teacher	1284575	100292856
Evan Almighty	0413099	100289690
Shakespeare in Love	0138097	100241322
Yogi Bear	1302067	100169068
Parenthood	0098067	100050000
You Don't Mess with the Zohan	0960144	100018837
Gnomeo & Juliet	0377981	99808609
Hercules	0119282	99046791
The Green Hornet	0990407	98780042
Date Night	1279935	98711404
Meet the Robinsons	0396555	97821064
Yes Man	1068680	97680195
Sausage Party	1700841	97661826
Inspector Gadget	0141369	97360069
Dead Poets Society	0097165	95860116
See full summary	0082031	95461682
Michael	0117038	95345070
Sex and the City 2	1261945	95328937
Norbit	0477051	95323496
The Princess Diaries 2: Royal Engagement	0368933	95149435
Legally Blonde	0250494	95001351
Beverly Hills Chihuahua	1014775	94497271
He's Just Not That Into You	1001508	93952276
Maid in Manhattan	0252076	93815117
The Mask of Zorro	0120746	93771072
America's Sweethearts	0265029	93607673
Lady and the Tramp	0048280	93600000
The Bucket List	0825232	93452056
Cats & Dogs	0239395	93375151
Two Weeks Notice	0313737	93307796
Flubber	0119137	92969824
When Harry Met Sally...	0098635	92823600
Think Like a Man	1621045	91547205
Kindergarten Cop	0099938	91457688
Back to School	0090685	91258000
Stepmom	0120686	91030827
Ride Along 2	2869728	90835030
Scary Movie 4	0362120	90703745
Antz	0120587	90646554
The Game Plan	0492956	90636983
Me, Myself & Irene	0183505	90567722
High School Musical 3: Senior Year	0962726	90556401
Madea Goes to Jail	1142800	90485233
Space Jam	0117705	90443603
Trading Places	0086465	90400000
RED	1245526	90356857
Get Hard	2561572	90353764
Planes	1691917	90282580
Legally Blonde 2: Red, White & Blonde	0333780	89808372
Father of the Bride	0101862	89325780
The Emperor's New Groove	0120917	89296573
See full summary	1142988	88915214
Failure to Launch	0427229	88658172
The Muppets	1204342	88625922
Starsky & Hutch	0335438	88200225
Along Came Polly	0343135	87856565
Back to the Future Part III	0099088	87666629
Pineapple Express	0910936	87341380
Sisters	1850457	87028670
The Naked Gun 2½: The Smell of Fear	0102510	86930411
The Campaign	1790886	86897182
Young Frankenstein	0072431	86300000
Dumb and Dumber To	2096672	86208010
Mean Girls	0377092	86049418
Annie	1823664	85911262
Alvin and the Chipmunks: The Road Chip	2974918	85884815
Spy Kids 2: Island of Lost Dreams	0287717	85570368
The SpongeBob SquarePants Movie	0345950	85416609
Brother Bear	0328880	85329248
Stripes	0083131	85300000
Tammy	2103254	84518155
The Santa Clause 3: The Escape Clause	0452681	84497876
Open Season	0400717	84303558
Pinocchio	0032910	84300000
Crazy, Stupid, Love.	1570728	84244877
Scooby-Doo 2: Monsters Unleashed	0331632	84185387
Anchorman: The Legend of Ron Burgundy	0357413	84136909
The Other Woman	2203939	83906114
Steel Magnolias	0098384	83759091
The War of the Roses	0098621	83699711
Airplane!	0080339	83400000
Penguins of Madagascar	1911658	83348920
Saving Mr. Banks	2140373	83299761
Turbo	1860353	83024900
Monster-in-Law	0369735	82931301
The Descendants	1033575	82624961
Cheaper by the Dozen 2	0452598	82569532
Charlotte's Web	0413895	82506325
Let's Be Cops	1924435	82389560
See full summary	0368578	82301521
The Pink Panther	0383216	82226474
MASH	0066026	81600000
School of Rock	0332379	81257845
Ted 2	2637276	81257500
Police Academy	0087928	81200000
Snow Dogs	0281373	81150692
While You Were Sleeping	0114924	81057016
Jimmy Neutron: Boy Genius	0268397	80920948
Another 48 Hrs.	0099044	80820000
Moonstruck	0093565	80640528
Zookeeper	1222817	80360866
What Happens in Vegas	1033643	80276912
The Dukes of Hazzard	0377818	80270227
The Wedding Singer	0120888	80224502
Nacho Libre	0457510	80197993
Goosebumps	1051904	80021740
The Golden Child	0091129	79817937
Dark Shadows	1077368	79711678
Hannah Montana: The Movie	1114677	79566871
Pixels	2120120	78747585
Teenage Mutant Ninja Turtles II: The Secret of the Ooze	0103060	78656813
Cocktail	0094889	78222753
The Naked Gun: From the Files of Police Squad!	0095705	78041829
Tower Heist	0471042	78009155
Parental Guidance	1047540	77264926
The A-Team	0429493	77213489
The Terminal	0362227	77032279
27 Dresses	0988595	76806312
The Muppet Movie	0079588	76657000
Father of the Bride Part II	0113041	76594000
Rugrats in Paris: The Movie	0213203	76501438
Knight and Day	1013743	76418654
White Men Can't Jump	0105812	76253806
Paddington	1109624	76137505
48 Hrs.	0083511	75900000
The Haunted Mansion	0338094	75817994
The Family Man	0218967	75764085
We Bought a Zoo	1389137	75621915
You, Me and Dupree	0463034	75604320
Zombieland	1156398	75590286
2 Guns	1272878	75573300
Garfield	0356634	75367693
The Intern	2361509	75274748
Barbershop	0303714	75074950
Romancing the Stone	0088011	74900000
Old School	0302886	74608545
Six Days Seven Nights	0120828	74329966
Jack and Jill	0810913	74158157
Christmas with the Kranks	0388419	73701902
Monster House	0385880	73661010
Oliver & Company	0095776	73450885
Beetlejuice	0094721	73326666
Boo! A Madea Halloween	5325452	73159525
Hotel for Dogs	0785006	73023275
Dinner for Schmucks	0427152	72980108
Jackass Number Two	0493430	72755517
Storks	4624424	72655779
Barnyard	0414853	72601713
Ace Ventura: Pet Detective	0109040	72217000
Get Shorty	0113161	72077000
Fred Claus	0486583	72000867
Ruthless People	0091877	71624879
See full summary	0098966	71609321
Sideways	0375063	71502303
Bridget Jones's Diary	0243155	71500556
Galaxy Quest	0177789	71423726
RV	0449089	71402035
I Love You, Man	1155056	71347010
National Lampoon's Christmas Vacation	0097958	71320000
Scary Movie 2	0257106	71277420
Turner & Hooch	0098536	71079915
Paul Blart: Mall Cop 2	3450650	71038190
The Smurfs 2	2017020	71017784
Bird on a Wire	0099141	70980000
Groundhog Day	0107048	70906973
Shallow Hal	0256380	70836296
No Strings Attached	1411238	70625986
The Best Man Holiday	2083355	70492685
The Big Short	1596363	70235322
Fool's Gold	0770752	70224196
Grumpy Old Men	0107050	70172621
Big Momma's House 2	0421729	70163652
Ferris Bueller's Day Off	0091042	70136369
Boomerang	0103859	70100000
Grumpier Old Men	0113228	69870000
Splash	0088161	69800000
Private Benjamin	0081375	69800000
The Best Little Whorehouse in Texas	0083642	69700000
Nine Months	0113986	69700000
The Kid	0219854	69688384
Top Gun	0092099	69467617
White Chicks	0381707	69148997
Cool Runnings	0106611	68856263
Sahara	0318649	68642452
Road Trip	0215129	68525609
Bring It On	0204946	68353550
Mr. Popper's Penguins	1396218	68218041
Blue Streak	0181316	68208190
Guess Who	0372237	67962333
This Is 40	1758830	67523385
Holes	0311289	67325559
Role Models	0430922	67266300
The Bounty Hunter	1038919	67061228
The Secret of My Succe$s	0093936	66995879
Alexander and the Terrible, Horrible, No Good, Very Bad Day	1698641	66950483
102 Dalmatians	0211181	66941559
The Mexican	0236493	66808615
Uncle Buck	0098554	66758538
Kangaroo Jack	0257568	66734992
Charlie Wilson's War	0472062	66636385
Babe	0112431	66600000
Bowfinger	0131325	66365290
Warm Bodies	1588173	66359959
The Parent Trap	0120783	66304095
Waiting to Exhale	0114885	66217473
Smokey and the Bandit II	0081529	66100000
Magic Mike XXL	2268016	66009973
Herbie Fully Loaded	0400497	66002004
Bad Boys	0112442	65807024
Ever After: A Cinderella Story	0120631	65703412
Stakeout	0094025	65673233
Madea's Witness Protection	2215285	65623128
See full summary	0089370	65600000
Deuce Bigalow: Male Gigolo	0205000	65535067
Think Like a Man Too	2239832	65182182
Now You See Me 2	3110958	65030563
About Schmidt	0257360	65010106
The American President	0112346	65000000
Pitch Perfect	1981677	64998368
Barbershop 2: Back in Business	0337579	64955956
