"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Something's Gotta Give"	"0337741"	124590960	80000000	1.557387	"2003-12-12"
"Traffic"	"0181865"	124107476	48000000	2.5855724166666665	"2001-01-05"
"Good Morning, Vietnam"	"0093105"	123922370	13000000	9.53249	"1988-01-15"
"The Good Dinosaur"	1979388	123070338	200000000	0.61535169	"2015-11-25"
"Rocky III"	"0084602"	122823200	17000000	7.224894117647059	"1982-05-28"
"Clear and Present Danger"	"0109444"	122012710	62000000	1.967946935483871	"1994-08-03"
"The Bodyguard"	"0103855"	121945720	25000000	4.8778288	"1992-11-25"
"Inglourious Basterds"	"0361748"	120523073	75000000	1.6069743066666666	"2009-08-21"
"Seabiscuit"	"0329575"	120147445	87000000	1.3810051149425286	"2003-07-25"
"Four Christmases"	"0369436"	120136047	80000000	1.5017005875	"2008-11-26"
"Walk the Line"	"0358273"	119518352	28000000	4.268512571428571	"2005-11-18"
"On Golden Pond"	"0082846"	119285432	15000000	7.95236213333	"1982-02-12"
"Fahrenheit 9/11"	"0361596"	119078393	6000000	19.846398833333332	"2004-06-25"
"Hairspray"	"0427327"	118823091	75000000	1.58430788	"2007-07-20"
"The Break-Up"	"0452594"	118683135	52000000	2.282367980769231	"2006-06-02"
"The Sum of All Fears"	"0164184"	118471320	68000000	1.742225294117647	"2002-05-31"
"Basic Instinct"	"0103772"	117727224	49000000	2.4025964081632654	"1992-03-20"
"Rocky"	"0075148"	117235247	960000	122.12004895833333	"1976-12-03"
"The Wolf of Wall Street"	"0993846"	116866727	100000000	1.16866727	"2013-12-25"
"Double Jeopardy"	"0150377"	116735231	70000000	1.6676461571428571	"1999-09-24"
"8 Mile"	"0298203"	116724075	41000000	2.8469286585365854	"2002-11-08"
"The Butler"	1327773	116631310	30000000	3.887710333333333	"2013-08-16"
"Notting Hill"	"0125439"	116006080	42000000	2.762049523809524	"1999-05-28"
"The Towering Inferno"	"0072308"	116000000	14000000	8.285714285714286	"1975-01-01"
"You've Got Mail"	"0128853"	115731542	65000000	1.7804852615384614	"1998-12-18"
"Remember the Titans"	"0210945"	115648585	30000000	3.8549528333333334	"2000-09-29"
"Unbroken"	1809398	115603980	65000000	1.7785227692307692	"2014-12-25"
"American Graffiti"	"0069704"	115000000	777000	148.00514800514802	"1973-09-01"
"Big"	"0094737"	114968774	18000000	6.387154111111111	"1988-06-03"
"Fifty Shades Darker"	4465564	114376885	55000000	2.079579727272727	"2017-02-10"
"The Village"	"0368447"	114195633	60000000	1.90326055	"2004-07-30"
"Bolt"	"0397892"	114053579	150000000	0.7603571933333333	"2008-11-21"
"Magic Mike"	1915581	113709992	7000000	16.244284571428572	"2012-06-29"
"The Patriot"	"0187393"	113330342	110000000	1.0302758363636364	"2000-06-28"
"The Pacifier"	"0395699"	113006880	56000000	2.01798	"2005-03-04"
"It's Complicated"	1230414	112703470	85000000	1.3259231764705883	"2009-12-25"
"One Flew Over the Cuckoo's Nest"	"0073486"	112000000	4400000	25.454545454545453	"1975-11-19"
"Doctor Zhivago"	"0059113"	111722000	11000000	10.156545454545455	"1965-12-31"
"The Last Samurai"	"0325710"	111110575	140000000	0.7936469642857142	"2003-12-05"
"Trainwreck"	3152624	110008260	35000000	3.143093142857143	"2015-07-17"
"Creed"	3076658	109712885	35000000	3.1346538571428573	"2015-11-25"
"A Time to Kill"	"0117913"	108706165	40000000	2.717654125	"1996-07-24"
"Black Hawk Down"	"0265086"	108638745	92000000	1.1808559239130434	"2002-01-18"
"Terms of Endearment"	"0086425"	108423489	8000000	13.552936125	"1983-12-09"
"Pulp Fiction"	"0110912"	107930000	8000000	13.49125	"1994-10-14"
"Watchmen"	"0409459"	107503316	130000000	0.8269485846153846	"2009-03-06"
"A League of Their Own"	"0104694"	107458785	40000000	2.686469625	"1992-07-01"
"Captain Phillips"	1535109	107100855	55000000	1.9472882727272727	"2013-10-11"
"Black Swan"	"0947798"	106952327	13000000	8.227102076923076	"2010-12-17"
"Chicken Run"	"0120630"	106793915	45000000	2.373198111111111	"2000-06-23"
"Indecent Proposal"	"0107211"	106614100	38000000	2.805634210526316	"1993-04-07"
"Driving Miss Daisy"	"0097239"	106593296	7500000	14.212439466666666	"1990-01-26"
"Love Story"	"0066011"	106400000	2200000	48.36363636363637	"1970-12-16"
"Kramer vs. Kramer"	"0079417"	106300000	8000000	13.2875	"1979-12-19"
"Interview with the Vampire: The Vampire Chronicles"	"0110148"	105264608	60000000	1.7544101333333333	"1994-11-11"
"Robin Hood"	"0955308"	105219735	200000000	0.526098675	"2010-05-14"
"Phenomenon"	"0117333"	104632573	32000000	3.26976790625	"1996-07-03"
"The Graduate"	"0061722"	104397102	3000000	34.799034	"1967-12-22"
"Road to Perdition"	"0257044"	104054514	80000000	1.300681425	"2002-07-12"
"Dreamgirls"	"0443489"	103338338	70000000	1.4762619714285714	"2006-12-25"
"Jaws 2"	"0077766"	102922376	20000000	5.1461188	"1978-06-16"
"Bambi"	"0034492"	102797150	858000	119.810198135	"1942-08-21"
"The General's Daughter"	"0144214"	102678089	95000000	1.0808219894736841	"1999-06-18"
"The Aviator"	"0338751"	102608827	110000000	0.9328075181818182	"2004-12-25"
"The Girl with the Dragon Tattoo"	1568346	102515793	90000000	1.1390643666666667	"2011-12-21"
"In the Line of Fire"	"0107206"	102314283	40000000	2.557857075	"1993-07-09"
"Butch Cassidy and the Sundance Kid"	"0064115"	102308900	6000000	17.051483333333334	"1969-10-24"
"Sleeping with the Enemy"	"0102945"	101580000	19000000	5.346315789473684	"1991-02-08"
"Eraser"	"0116213"	101228120	100000000	1.0122812	"1996-06-21"
"The Prince of Egypt"	"0120794"	101217900	70000000	1.44597	"1998-12-18"
"Noah"	1959490	101160529	125000000	0.809284232	"2014-03-28"
"Unforgiven"	"0105695"	101157447	14400000	7.024822708333334	"1992-08-07"
"Contact"	"0118884"	100853835	90000000	1.1205981666666667	"1997-07-11"
"The Pelican Brief"	"0107798"	100768056	45000000	2.2392901333333333	"1993-12-17"
"Arrival"	2543164	100501349	47000000	2.1383265744680853	"2016-11-11"
"The Rugrats Movie"	"0134067"	100491683	24000000	4.187153458333333	"1998-11-20"
"Airport"	"0065377"	100489150	10000000	10.048915	"1970-03-05"
