Alpha and Omega	1213012	25077977
FernGully: The Last Rainforest	0104254	24650296
See full summary	1027743	23552772
Eight Crazy Nights	0271263	23443124
The Iron Giant	0129167	23159305
Piglet's Big Movie	0323642	23073611
The Care Bears Movie	0088885	22934000
Titan A.E.	0120913	22751979
Quest for Camelot	0120800	22717758
An American Tail: Fievel Goes West	0101329	22166041
Mars Needs Moms	1305591	21379315
The Black Cauldron	0088814	21000000
Fantastic Mr. Fox	0432283	20999103
Looney Tunes: Back in Action	0318155	20950820
Yu-Gi-Oh!: The Movie	0403703	19762690
Astro Boy	0375568	19548064
Igor	0465502	19528188
See full summary	0361089	19447478
Doug's 1st Movie	0187819	19421271
Shaun the Sheep Movie	2872750	19369813
The Secret World of Arrietty	1568921	19192510
DuckTales the Movie: Treasure of the Lost Lamp	0099472	18115724
See full summary	0407121	18081626
Norm of the North	1594972	17017118
Happily N'Ever After	0308353	15519841
Arthur and the Invisibles	0344854	15131330
Ponyo	0876563	15081783
The Adventures of Pinocchio	0086857	14764717
Fly Me to the Moon 3D	0486321	14532946
Everyone's Hero	0430779	14522427
Cool World	0104009	14110600
Hey Arnold! The Movie	0314166	13684949
Haunted Castle	0278475	13651656
Osmosis Jones	0181739	13596911
See full summary	0475998	12701880
Strange Magic	4191054	12427046
The Pagemaster	0110763	12039526
The King and I	0160429	11956538
Rock-A-Doodle	0102802	11657385
The Powerpuff Girls Movie	0289408	11411644
Thumbelina	0111419	11373501
Balto	0112453	11268750
CyberWorld	0233508	11243622
Jetsons: The Movie	0099878	10900000
See full summary	0135640	10232980
Hoodwinked Too! Hood vs. Evil	0844993	10134754
Spirited Away	0245429	10049886
The Swan Princess	0111333	9771658
Digimon: The Movie	0259974	9628751
Rock Dog	2822672	9404922
See full summary	0108526	9315576
Huevos: Little Rooster's Egg-cellent Adventure	4643580	9069010
All Dogs Go to Heaven 2	0115509	8620500
Ratchet & Clank	2865120	8549740
See full summary	0090799	8540346
Legends of Oz: Dorothy's Return	0884726	8460990
Bébé's Kids	0103783	8442162
The Wild Life	4731008	7965609
Sprung! The Magic Roundabout	0339334	7415850
See full summary	0763304	7382993
Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F'	3819668	7232704
The Triplets of Belleville	0286244	7002255
The Chipmunk Adventure	0092752	6804312
Once Upon a Forest	0107745	6574896
Teacher's Pet	0350194	6491350
My Little Pony: The Movie	0091584	5958456
The Transformers: The Movie	0092106	5849647
Orlando	1426379	5736750
Batman: Mask of the Phantasm	0106364	5617391
Aqua Teen Hunger Force Colon Movie Film for Theaters	0455326	5518918
A Scanner Darkly	0405296	5480996
Monkeybone	0166276	5409517
Kaze tachinu	2013293	5201879
Alien Adventure	0238829	5017087
Howl's Moving Castle	0347149	4710455
Kimi no na wa	5311514	4676810
Persepolis	0808417	4443403
The Pebble and the Penguin	0114108	3983912
Batman: The Killing Joke	4853102	3775000
Cats Don't Dance	0118829	3562749
Tom and Jerry: The Movie	0105616	3560469
Anomalisa	2401878	3442820
Pinocchio and the Emperor of the Night	0093743	3261638
Waking Life	0243017	2892011
The Oscar Nominated Short Films 2017: Animation	6511760	2833441
Clifford's Really Big Movie	0398872	2831130
The Care Bears Adventure in Wonderland	0092723	2608000
The Legend of Sarmoti: Siegfried & Roy	0117647	2537523
The Oscar Nominated Short Films 2015: Animation	4383208	2408451
Princess Mononoke	0119698	2298191
