"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"The Chronicles of Narnia: Prince Caspian"	"0499448"	141614023	225000000	0.6293956577777777	"2008-05-16"
"xXx"	"0295701"	141204016	70000000	2.0172002285714288	"2002-08-09"
"Rush Hour"	"0120812"	141153686	33000000	4.277384424242424	"1998-09-18"
"Deep Impact"	"0120647"	140459099	75000000	1.8727879866666666	"1998-05-08"
"Rush Hour 3"	"0293564"	140080850	140000000	1.0005775	"2007-08-10"
"Taken 2"	1397280	139852971	45000000	3.1078438	"2012-10-05"
"The Matrix Revolutions"	"0242653"	139259759	150000000	0.9283983933333333	"2003-11-05"
"21 Jump Street"	1232829	138447667	42000000	3.2963730238095237	"2012-03-16"
"Bad Boys II"	"0172156"	138396624	130000000	1.0645894153846154	"2003-07-18"
"Pirates of the Caribbean: Dead Men Tell No Tales"	1790809	137110551	230000000	0.5961328304347826	"2017-05-26"
"Godzilla"	"0120685"	136023813	130000000	1.0463370230769231	"1998-05-20"
"Teenage Mutant Ninja Turtles"	"0100758"	135270000	13500000	10.02	"1990-03-30"
"Wanted"	"0493464"	134568845	75000000	1.7942512666666666	"2008-06-27"
"Live Free or Die Hard"	"0337978"	134520804	110000000	1.2229164	"2007-06-27"
"The Incredible Hulk"	"0800080"	134518390	150000000	0.8967892666666667	"2008-06-13"
"Superman"	"0078346"	134218018	55000000	2.4403276	"1978-12-15"
"Ride Along"	1408253	134141530	25000000	5.3656612	"2014-01-17"
"The Rock"	"0117500"	134006721	75000000	1.78675628	"1996-06-07"
"Mission: Impossible III"	"0317919"	133382309	150000000	0.8892153933333333	"2006-05-05"
"The Wolverine"	1430132	132550960	120000000	1.1045913333333333	"2013-07-26"
"Hulk"	"0286716"	132122995	137000000	0.9644014233576642	"2003-06-20"
"Minority Report"	"0181689"	132014112	102000000	1.294256	"2002-06-21"
"Fantastic Four: Rise of the Silver Surfer"	"0486576"	131920333	130000000	1.0147717923076922	"2007-06-15"
"The Last Airbender"	"0938283"	131564731	150000000	0.8770982066666667	"2010-07-01"
"Lara Croft: Tomb Raider"	"0146316"	131144183	115000000	1.1403842	"2001-06-15"
"Get Smart"	"0425061"	130313314	80000000	1.628916425	"2008-06-20"
"Lethal Weapon 4"	"0122151"	129734803	140000000	0.9266771642857143	"1998-07-10"
"Ghostbusters"	1289401	128344089	144000000	0.8912783958333333	"2016-07-15"
"Kingsman: The Secret Service"	2802144	128248205	81000000	1.5833111728395062	"2015-02-13"
"Crouching Tiger, Hidden Dragon"	"0190332"	128067808	17000000	7.533400470588235	"2001-01-12"
"Central Intelligence"	1489889	127380061	50000000	2.54760122	"2016-06-17"
"2 Fast 2 Furious"	"0322259"	127083765	76000000	1.672154802631579	"2003-06-06"
"The World Is Not Enough"	"0143145"	126930660	135000000	0.9402271111111111	"1999-11-19"
"Smokey and the Bandit"	"0076729"	126737428	4300000	29.47382046511628	"1977-05-27"
"The Legend of Tarzan"	"0918940"	126585313	180000000	0.7032517388888889	"2016-07-01"
"Lucy"	2872732	126546825	40000000	3.163670625	"2014-07-25"
"Safe House"	1599348	126149655	85000000	1.484113588235294	"2012-02-10"
"Tomorrow Never Dies"	"0120347"	125332007	110000000	1.1393818818181818	"1997-12-19"
"Terminator Salvation"	"0438488"	125320003	200000000	0.626600015	"2009-05-21"
"Charlie's Angels"	"0160127"	125305545	93000000	1.3473714516129032	"2000-11-03"
"Lone Survivor"	1091191	125069696	40000000	3.1267424	"2014-01-10"
"G.I. Joe: Retaliation"	1583421	122512052	130000000	0.9424004	"2013-03-28"
"Clear and Present Danger"	"0109444"	122012710	62000000	1.967946935483871	"1994-08-03"
"The Hunt for Red October"	"0099810"	122012643	30000000	4.0670881	"1990-03-02"
"The Bodyguard"	"0103855"	121945720	25000000	4.8778288	"1992-11-25"
"The Bourne Identity"	"0258463"	121468960	60000000	2.0244826666666667	"2002-06-14"
"Speed"	"0111257"	121248145	30000000	4.041604833333333	"1994-06-10"
"Van Helsing"	"0338526"	120025245	160000000	0.75015778125	"2004-05-07"
"G-Force"	"0436339"	119420252	150000000	0.7961350133333334	"2009-07-24"
"Total Recall"	"0100802"	119412921	65000000	1.8371218615384615	"1990-06-01"
"The Other Guys"	1386588	119219978	100000000	1.19219978	"2010-08-06"
"The Sum of All Fears"	"0164184"	118471320	68000000	1.742225294117647	"2002-05-31"
"Salt"	"0944835"	118311368	110000000	1.0755578909090908	"2010-07-23"
"Big Momma's House"	"0208003"	117559438	30000000	3.9186479333333333	"2000-06-02"
"Die Hard 2"	"0099423"	117541000	70000000	1.6791571428571428	"1990-07-04"
