"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"The Hills Have Eyes"	"0454841"	41777564	15000000	2.785170933333333	"2006-03-10"
"Orphan"	1148204	41573740	20000000	2.078687	"2009-07-24"
"Gremlins 2: The New Batch"	"0099700"	41482207	50000000	0.82964414	"1990-06-15"
"Poltergeist II: The Other Side"	"0091778"	40996665	19000000	2.1577192105263157	"1986-05-23"
"The Last Exorcism"	1320244	40990055	1800000	22.772252777777776	"2010-08-27"
"House on Haunted Hill"	"0185371"	40846082	37000000	1.103948162162162	"1999-10-29"
"Legion"	1038686	40168080	26000000	1.5449261538461538	"2010-01-22"
"The Faculty"	"0133751"	40064955	15000000	2.670997	"1998-12-25"
"I Still Know What You Did Last Summer"	"0130018"	39989008	24000000	1.6662086666666667	"1998-11-13"
"30 Days of Night"	"0389722"	39568996	32000000	1.236531125	"2007-10-19"
"Resident Evil"	"0120804"	39532308	33000000	1.1979487272727272	"2002-03-15"
"The Texas Chainsaw Massacre: The Beginning"	"0420294"	39511038	16000000	2.469439875	"2006-10-06"
"Pitch Black"	"0134847"	39235088	23000000	1.7058733913043478	"2000-02-18"
"The Grudge 2"	"0433386"	39143839	20000000	1.95719195	"2006-10-13"
"The Sword and the Sorcerer"	"0084749"	39103500	4000000	9.775875	"1982-04-30"
"The Crazies"	"0455407"	39103378	20000000	1.9551689	"2010-02-26"
"The Ghost and the Darkness"	"0116409"	38553833	55000000	0.7009787818181819	"1996-10-11"
"Scream 4"	1262416	38176892	40000000	0.9544223	"2011-04-15"
"Urban Legend"	"0146336"	38048637	14000000	2.7177597857142857	"1998-09-25"
"Red Riding Hood"	1486185	37652565	42000000	0.8964896428571428	"2011-03-11"
"The Fly"	"0091064"	37585252	15000000	2.5056834666666665	"1986-08-15"
"Abraham Lincoln: Vampire Hunter"	1611224	37516013	69000000	0.5437103333333333	"2012-06-22"
"Jeepers Creepers"	"0263488"	37470017	10000000	3.7470017	"2001-08-31"
"Friday the 13th"	"0080761"	37465200	550000	68.11854545454545	"1980-05-09"
"The Roommate"	1265990	37300107	16000000	2.3312566875	"2011-02-04"
"Sphere"	"0120184"	36976367	80000000	0.4622045875	"1998-02-13"
"Friday the 13th Part III"	"0083972"	36200000	2300000	15.73913043478261	"1982-08-13"
"The Boy"	3882082	35794166	8000000	4.47427075	"2016-01-22"
"The Messengers"	"0425430"	35374833	16000000	2.2109270625	"2007-02-02"
"Frankenweenie"	1142977	35287788	39000000	0.9048150769230769	"2012-10-05"
"Carrie"	1939659	35266619	30000000	1.1755539666666666	"2013-10-18"
"The Mothman Prophecies"	"0265349"	35228696	32000000	1.10089675	"2002-01-25"
"Jeepers Creepers II"	"0301470"	35143332	17000000	2.067254823529412	"2003-08-29"
"Ghoulies"	"0089200"	35000000	1000000	35.0	"1985-01-18"
"Ouija: Origin of Evil"	4361050	34904885	9000000	3.8783205555555558	"2016-10-21"
"Freddy's Dead: The Final Nightmare"	"0101917"	34872293	11000000	3.1702084545454547	"1991-09-13"
"Texas Chainsaw 3D"	1572315	34334256	20000000	1.7167128	"2013-01-04"
"The Relic"	"0120004"	33927476	40000000	0.8481869	"1997-01-10"
"Dreamcatcher"	"0285531"	33685268	68000000	0.4953715882352941	"2003-03-21"
"Devil"	1314655	33583175	10000000	3.3583175	"2010-09-17"
"Halloween II"	1311067	33386128	15000000	2.2257418666666666	"2009-08-28"
